"Quantity";"RefDes";"Value";"Name"
"2";"C1, C4";"56pF";"500V CAP_1206"
"2";"C2, C3";"150pF";"500V CAP_1206"
"11";"C5, C6, C11, C12, C19, C20, C26, C27, C100, C1a, C2a";"0.1uF";"CAP_1206"
"2";"C7, C10";"82pF";"500V CAP_1206"
"2";"C8, C9";"220pF";"500V CAP_1206"
"2";"C13, C16";"180pF";"500V CAP_1206"
"2";"C14, C15";"390pF";"500V CAP_1206"
"2";"C21, C24";"270pF";"500V CAP_1206"
"2";"C22, C23";"680pF";"500V CAP_1206"
"2";"C28, C31";"470pF";"500V CAP_1206"
"2";"C29, C30";"1200pF";"500V CAP_1206"
"2";"C38, C40";"1800pF";"CAP_1206"
"1";"C39";"520pF";"CAP_1206"
"1";"C201";"56pF";"CAP_1206"
"1";"C202";"130pF";"CAP_1206"
"5";"D1, D2, D3, D4, D5";"Si 100V";"1N4148 Thru"
"3";"J2, J6, J9";"";"SMA"
"1";"J3";"";"IDC16M"
"5";"K1, K2, K3, K4, K5";"";"RELAY3_DPDT"
"1";"L1";"11T T37-6";"IND_IRON_CORE"
"1";"L2";"13T T37-6";"IND_IRON_CORE"
"1";"L3";"10T T37-6";"IND_IRON_CORE"
"2";"L4, L6";"12T T37-6";"IND_IRON_CORE"
"1";"L5";"14T T37-6";"IND_IRON_CORE"
"2";"L7, L9";"16T T37-6";"IND_IRON_CORE"
"1";"L8";"17T T37-6";"IND_IRON_CORE"
"2";"L11, L13";"22T T37-6";"IND_IRON_CORE"
"1";"L12";"24T T37-6";"IND_IRON_CORE"
"2";"L14, L16";"21T T68-2";"IND_IRON_CORE"
"1";"L15";"23T T68-2";"IND_IRON_CORE"
"2";"L24, L25";"25T T68-2";"IND_IRON_CORE"
"11";"Pin1, Pin3, Pin4, Pin5, Pin6, Pin7, Pin8, Pin9, Pin10, Pin11, Pin12";"";"PINSHAPE_D50"
"1";"Pin2";"";""
"5";"Q1, Q2, Q3, Q4, Q5";"";"BS170 Thru"
"5";"R1, R2, R3, R4, R5";"6.8K";"RES_1206"
"89";"";"";""
