"Quantity";"RefDes";"Value";"Name"
"25";"15MFilter, 15Mfilter1, 20MFilter, 20Mfilter1, 40MFilter, 40Mfilter2, 80MFilter, 80Mfilter3, Fan1, Fan2, Key1, Key2, KEY_1, KEY_2, Mute, pin38, PTT, PTT2, Rx/Tx, Rx/Tx1, Rx/Tx_1, Speaker1, Speaker2, Speaker_1, Speaker_2";"";"CON_MALE"
"4";"Bands..., Display1, Encoders, Encoders1";"";"IDC2x5_Male"
"3";"C1, C3, C9";"10uF";"CAP_1206"
"4";"C2, C4, C5, C8";"0.1uF";"CAP_1206"
"1";"C6";"1uF";"CAP 1206"
"1";"C10";"0.001uF";"1206"
"4";"C100, C102, C106, C303";"10uF";"CAP"
"3";"C103, C207, C302";"0.1uF";"1206"
"1";"C105";"220uF";"CAP"
"2";"C201, C202";"0.01uF";"1206"
"1";"C301";"100uF";"CAP"
"1";"C305";"0.22uF";"1206"
"2";"CLK1, CLK2";"";"SMA COAX_FEMALE"
"3";"Display, Tune/Filter1, Volume";"";"IDC2x5_Cable"
"3";"Ex_Out, Mic_in, Rec_In";"";"Phone Jack"
"4";"Filter, FineTune, Tune, Volume1";"";"Encoder"
"2";"L100, L301";"";"1206 FERRITE_BEAD"
"18";"Pin204, Pin205, Pin206, Pin207, Pin208, Pin209, Pin210, Pin211, Pin212, Pin214, Pin215, Pin216, Pin217, Pin218, Pin219, Pin220, Pin221, Pin222";"";"PINSHAPE_D50"
"2";"Pin213, Pin223";"";""
"1";"Power";"";"IDC16M"
"1";"Q1";"";"BS170"
"2";"Q101, Q102";"";"2N2222A"
"1";"R1";"100K";"RES"
"4";"R2, R3, R7, R100";"10K";"RES"
"3";"R8, R9, R10";"100";"RES"
"1";"R101";"7.5K";"RES"
"1";"R104";"120";"RES"
"1";"R105";"82";"RES"
"1";"R108";"510";"RES"
"1";"R110";"680";"RES"
"2";"R201, R202";"4.7K";"RES"
"2";"R301, R302";"47K";"RES"
"1";"R303";"10k";"Trim pot"
"1";"Teensy4.1";"";"Teensy 4.1"
"8";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8";"";"TESTPOINT"
"1";"U4";"";"TDA7266M"
"1";"U5";"";"74HC125"
"1";"U6";"";"Si5351A"
"1";"U7";"";"PCM1808"
"1";"U8";"";"PCM5102"
"1";"USBHost";"";"1-1734028-1"
"1";"Y1";"25MHz";"Crystal"
"122";"";"";""
