"Quantity";"RefDes";"Value";"Name"
"28";"C1, C2, C3, C5, C6, C7, C8, C9, C10, C24, C101, C102, C104, C105, C107, C108, C109, C110, C111, C112, C201, C202, C204, C206, C208, C209, C300, C302";"0.1uF";"CAP_1206"
"1";"C4";"390 pF";"CAP_1206"
"1";"C11";"100uF";""
"4";"C103, C106, C203, C207";"0.47uF";"CAP_1206"
"1";"C205";"33pF";"CAP_1206"
"1";"C301";"100uF";"CAPAE-4.3x4.3h5.4"
"9";"D301, D302, D303, D304, D305, D306, D307, D308, D309";"";"DIODE_1N4148"
"2";"J1, J2";"";"SMA COAX_FEMALE"
"1";"J3";"";"CON_MALE"
"2";"J4, J6";"";"HDR-1x2H"
"1";"J5";"";"HDRF-1x2"
"2";"J200, J201";"";"CON_FEMALE"
"1";"JP1";"";"JUMPER"
"1";"L1";"0.18uH";"1206"
"5";"L2, L101, L103, L201, L204";"2.2uH";"1206"
"4";"L102, L104, L202, L203";".33uH";"1206"
"4";"Q1, Q2, Q3, Q5";"";"2N3904"
"2";"Q4, Q302";"";"2N3906"
"4";"Q101, Q102, Q201, Q202";"";"IRF510"
"1";"Q301";"";"TIP127"
"1";"Q303";"";"IRFU9024"
"1";"R1";"4700";"RES_1206"
"1";"R2";"5100";"RES_1206"
"1";"R3";"200";"RES_1206"
"3";"R4, R16, R304";"150";"RES_1206"
"1";"R5";"3300";"RES_1206"
"1";"R6";"5600";"RES_1206"
"1";"R7";"1200";"RES_1206"
"1";"R8";"200";"Trim Pot"
"1";"R9";"3K";"RES_1206"
"1";"R10";"680";"RES_1206"
"2";"R11, R13";"24K";"RES_1206"
"4";"R12, R15, R301, R302";"10K";"RES_1206"
"1";"R14";"48";"RES_1206"
"1";"R17";"37";"RES_1206"
"1";"R19";"5.5K";"RES_1206"
"4";"R100, R102, R200, R203";"10K";"Trim Pot"
"2";"R101, R103";"100";"RES_1206"
"2";"R106, R107";"1.1K";"RES_1206"
"2";"R201, R204";"56";"RES_1206"
"2";"R202, R205";"240";""
"1";"R300";"0.167";"6 1ohm parallel"
"1";"R303";"470";"RES_1206"
"1";"R306";"220";"RES_1206"
"1";"T1";"4T-P 3T Bi-S";"BN43-202"
"1";"T2";"10T Bi";"FT50 - 43 Toroid"
"1";"T3";"4T-P 6T-Bi_S";"BN43-202"
"1";"T4";"10T";"2x FT50 43 Toroid"
"1";"T5";"2T-P 3T-S";"BN-43-3312"
"1";"U1";"";"LM7815CT"
"1";"U2";"";"LM317T"
"119";"";"";""
