"Quantity";"RefDes";"Value";"Name"
"12";"C1, C2, C3, C4, C6, C8, C10, C104, C202, C212, C302, C303";"0.1uF";"CAP_1206"
"7";"C5, C7, C9, C305, C307, C310, C311";"10uF";"CAP_1206"
"4";"C203, C207, C210, C211";"10nF";"CAP_1206"
"4";"C204, C205, C206, C208";"1uF";"CAP_1206"
"4";"C304, C306, C308, C309";"68pF";"CAP_1206"
"2";"J1, J2";"";"SMA COAX_FEMALE"
"1";"J4";"";"1/8  Phone Jack"
"1";"J5";"";"2x8IDC"
"5";"L1, L2, L3, L4, L5";"Ferrite Bead";"1206"
"2";"Q1, Q2";"";"2N3904"
"1";"R1";"390";"RES_1206"
"1";"R2";"5.6K";"RES_1206"
"1";"R3";"510";"RES_1206"
"1";"R4";"68";"RES_1206"
"1";"R5";"200";"RES_1206"
"4";"R201, R202, R206, R207";"100";"RES_1206"
"2";"R203, R208";"2K";"RES_1206"
"4";"R204, R205, R209, R210";"10K";"RES_1206"
"8";"R301, R302, R303, R304, R305, R306, R307, R308";"5.1K";"RES_1206"
"1";"T1";"FT50-43 Toroid";"Toroid Xformer"
"3";"TP1, TP6, TP7";"";"TESTPOINT"
"1";"U4";"";"74CBTLV3253PWRE4"
"1";"U5";"";"74AC74MTC"
"1";"U2-3";"";"MC33078BYDT"
"1";"U3-3";"";"MC33078YDT"
"73";"";"";""
