"Quantity";"RefDes";"Value";"Name"
"14";"C1, C10, C15, C20, C21, C23, C24, C25, C26, C27, C29, C30, C31, C32";"0.1uF";"CAP_1206"
"10";"C2, C4, C6, C7, C12, C14, C16, C17, C22, C28";"10uF";"CAP"
"4";"C3, C11, C33, C34";"100pF";"CAP_1206"
"4";"C5, C9, C13, C19";"0.0022uF";"CAP_1206"
"2";"C8, C18";"1nF";"CAP_1206"
"1";"C35";"0.1uF";"CAP 1206"
"1";"J1";"";"IDC16M"
"1";"J2";"";"CON_PHONE_JACK4"
"2";"J3, J4";"";"SMA COAX_FEMALE"
"1";"J5";"";"HDR-1x2H"
"1";"JP1";"";"JUMPER"
"4";"L1, L2, L3, L4";"Ferrite Bead";"1206"
"1";"Q1";"";"BS170"
"4";"R1, R6, R9, R16";"49.9";"RES_1206"
"6";"R2, R3, R5, R11, R12, R15";"10K";"RES_1206"
"2";"R4, R13";"10k";"RES_1206"
"4";"R7, R14, R17, R18";"2.2K";"RES_1206"
"2";"R8, R10";"4.7K";"RES_1206"
"2";"R19, R21";"10K";"RES"
"1";"R20";"100K";"RES"
"1";"T1";"";"T37-6 yellow"
"13";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13";"";"TESTPOINT"
"2";"U1, U2";"";"MC33078YDT"
"1";"U3";"";"74CBTLV3253PWRE4"
"1";"U4";"";"74AC74MTC"
"85";"";"";""
